null,name,image,Salty,Savory,Sour,Bitter,Sweet,Spicy,materials
,커피샹그리아,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/01/8529126f94082ec8e1a9c024d85f834a1_m.jpg,17,17,17,17,83,0,"사과 1/4개,  배 1/4개,  오렌지 1개,  레몬(또는 레몬주스) 1/2개,  머루포도 7~8알,  자두 1개,  화이트와인 300ml,  사이다 500ml,  백설탕 3T,  커피 150ml,  얼음 약간"
,체리블러썸,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/04/3b3da4327cc7a868e88ec184e90d04c81_m.jpg,17,17,17,17,83,0,"일본술 50ml [양념] 자몽주스 100ml,  스프라이트 350ml"
,Kahlua Milk,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/04/5b1c93d25b9ababa0884b55249794b7b1_m.jpg,17,17,17,83,17,0,"에스프레소 60ml,  우유 100ml,  깔루아 2큰술(30ml),  얼음 6조각,  시나몬가루(없으면생략)"
,Mojito,https://recipe1.ezmember.co.kr/cache/recipe/2019/08/09/612e672194ee884d69e93a6da091d3c61_m.jpg,17,17,17,17,0,0,"라임 1개,  럼,  애플민트 2줌,  설탕 1스푼,  탄산수,  얼음"
,소주 모히또,https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/0d298bf5640d96d9cfc2fb40364ea0721_m.jpg,0,0,0,0,50,0,"라임 1~2개,  시럽 또는 꿀 2~3큰술,  바질잎 15~20장,  소금 1꼬집,  소주 1병"
,망고아일랜드,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/06/311e29d4959467f7fa1cd84d7ba4bbfa1_m.jpg,17,17,17,17,83,0,"망고시럽 15ml,  망고주스 20ml,  스위트&샤워믹스 20ml,  클럽소다 Fill 적당량,  블루큐라소 1T"
,인삼칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2016/12/16/1c6b6290493ff8a274e38a0771657ded1_m.jpg,17,0,17,50,17,50,"인삼 2뿌리,  파프리카(3색) 1/4개씩,  체리토마토 10알,  체리 4~5개,  키위 1개,  블루베리 10알,  진 1/2온즈,  우유 2온즈"
,허밍 플라워,https://recipe1.ezmember.co.kr/cache/recipe/2017/01/10/c86276205bf0a54753cae7807dceaafb1_m.jpg,0,0,50,17,67,0,"립톤 클래식 얼그레이 60ml,  레몬 주스 300ml,  라벤더 시럽 30ml,  로즈 시럽 20ml"
,자몽소주 칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2017/02/18/0947bbeea8d2a1339069c26d1f6eb4431_m.jpg,0,0,0,0,50,0,"자몽소주 2소주잔,  토닉 !장미토닉이 없음 일반토닉가능 2병 x200ml,  자몽 1개,  얼음,  말린 자몽 또는 오렌지 2슬라이스,  칵테일용 빨대 2개,  칵테일용수저 1개"
,Non Alchol Mojito,https://recipe1.ezmember.co.kr/cache/recipe/2019/08/09/612e672194ee884d69e93a6da091d3c61_m.jpg,17,17,17,17,83,0,"레몬시럽 4큰술,  민트잎 7장,  라임 슬라이스 4쪽,  사이다 200ml,  얼음 1컵"
,자두칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/29/173e128e214634d085e50ddbe48ca0901_m.jpg,17,17,17,17,0,0,"자두 3개,  꿀 1큰술,  럼주 2큰술,  라임즙 1작은술,  탄산수 1/2컵,  얼음 적당량"
,포도칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2017/08/05/6dd0d5caac157fb7633b635ee73d66241_m.jpg,17,17,17,17,0,0,"포도 1송이,  포도알 3개,  럼주 1큰술,  라임즙 1작은술,  꿀 1큰술,  탄산수 1/2컵,  얼음 3덩어리"
,Sangria,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/18/d462889833dc12838f8a4ffa4aa4eb501_m.jpg,0,0,50,17,67,0,"레몬 1개,  자몽 1/2개,  자두 2개,  와인 600ml,  얼음 취향껏넉넉히,  탄산수 500ml"
,청포도맥주,https://recipe1.ezmember.co.kr/cache/recipe/2017/10/22/028394eaccbac140dc40632deda248941_m.jpg,0,0,0,17,50,0,"맥주 1캔,  포도봉봉 1캔"
,블루베리 칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/02/5ddb032cd8b64c02db34e77ed90cdd0f1_m.jpg,17,17,17,17,83,0,"무알콜맥주 1캔(330ml),  홍초 1/4컵(50ml),  (냉동)블루베리 40알(약 40g),  사이다 1컵(200ml),  로즈메리 1자밤"
,Jack Coke,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/b86fd2dab5618d354e431d96997207031_m.jpg,0,0,0,17,50,0,"잭다니엘(버본위스키) 1oz(30ml),  콜라 1캔(1병)"
,Tequila Sunrise,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/6b5b266bc0621d7f9abd43b8da20eb641_m.jpg,17,0,17,0,17,50,"데킬라 1oz(30ml),  그레나딘시럽(석류시럽) 1ts(작은술),  오렌지 1개,  오렌지쥬스"
,Dirty hoe,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/a2786e1b3a46dbb7aaeb468484d856d31_s.jpg,17,17,17,17,0,0,"호가든 225ml,  기네스 225ml"
,Caiprinha,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/dc55198ce424f97b5c092e90ccb092281_s.jpg,17,17,17,17,0,0,"카샤샤(or 화이트럼) 1+1/2oz(45ml),  라임 1/2개,  설탕 2+1/2작은술"
,Super Heineken,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/ec7f13d0fd8325687927adec0c53e3d81_s.png,17,17,17,17,83,0,"레몬즙 1oz(30ml),  블루퀴라소 1oz(30ml),  스프라이트(사이다) 2oz(60ml),  하이네켄 1병"
,Screw Driver,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/fc0c98c2dea95f35ca47431ced28ed161_s.jpg,17,17,17,17,0,0,"보드카 1+1/2oz(45ml),  오렌지 1개,  오렌지쥬스"
,Strawberry Caiperinha,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/455b502895ff201d993cd592ee6fe3661_s.png,0,0,0,17,50,0,"카샤샤 1+1/2oz(45ml),  설탕 2+1/2작은술,  딸기 5개,  라임 1/4 개"
,Bulldog,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/dce9e93d841db3ed1909bbec86e903601_s.jpg,17,0,17,0,17,50,"진 1+3/4oz(53ml),  오렌지쥬스 1/2oz(15ml),  진저에일 1캔"
,Long Beach Iced Tea,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/18/17d954c78f614ba14b7645c8cc6dc6221_s.png,0,0,50,17,67,0,"진 1/2oz(15ml),  럼 1/2oz(15ml),  보드카 1/2oz(15ml),  트리플섹(오렌지술) 1/2oz(15ml),  레몬즙 1+1/2oz(45ml),  시럽 1/2oz(15ml),  크렌베리쥬스 1병"
,쿠바리브레,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/21/d5c4cef3f22bb2e60ac4c7c11ead057d1_s.jpg,0,0,0,17,50,0,"럼 35ml,  라임 1/2개,  콜라 1병"
,Peach Crush,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/21/4d5f449693bb10b9fbcf914a2f0abfc61_s.jpg,17,17,17,17,83,0,"복숭아 리큐르 1+1/2oz(45ml),  시럽 1/2oz(15ml),  레몬즙 1/2oz(15ml),  크렌베리쥬스 2+1/2oz(75ml)"
,Blue Moon,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/7aa24607a08f9eaeba72f5900cd95a2d1_s.jpg,17,17,17,17,83,0,"진 1+1/2oz(45ml),  블루퀴라소 1/2oz (15ml),  시럽 1/2oz (15ml),  레몬즙 1oz (30ml),  파인애플쥬스 3oz(90ml)"
,Melon Cooler,https://recipe1.ezmember.co.kr/cache/recipe/2018/05/28/fde7c8ed79248cee154d8f8be7e4564e1_s.jpg,17,17,17,17,83,0,"멜론리큐르 1oz(30ml),  복숭아리큐르 0.5oz(15ml),  파인애플쥬스 2oz(60ml),  소다수 채우기"
,Moscow Mule,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/04/3ea383e766a5ad5bcf338e0b7fac1ed91_s.jpg,17,0,17,0,17,50,"보드카 1oz(30ml),  생강시럽 20ml,  라임즙 20ml,  탄산수 fill up"
,파인애플칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/16/eccd0b4280bcdf2469c091a6f79331061_m.jpg,17,17,17,17,83,0,"뷰코 코코넛 워터 오가닉 85g,  파인애플 주스 85g,  말부리 럼 29g,  얼음 적당량,  파인애플 슬라이스 1조각"
,Spumoni,https://recipe1.ezmember.co.kr/cache/recipe/2018/08/02/d76eb4e321c55cb4b9cdf67a993c96211_s.jpg,17,17,17,17,60,0,"캄파리 45ml,  자몽쥬스 90ml,  토닉워터 잔채우기"
,진저비어,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/01/76d467c5059e72d8468432d3f391e04d1_s.jpg,17,0,17,0,17,50,"생강 1톨,  물 100ml [발효시킬 물] 레몬즙 30ml,  설탕 120g,  뜨거운 물 500ml,  미지근한 물 500ml,  이스트 1tsp~0.5tsp"
,El Diablo,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/08/d8cd5d89e499c45850f8c3d6789a2ec91_s.jpg,17,17,17,17,0,0,"데킬라 60ml,  카시스 20ml,  라임 1개,  진저비어/진저엘 채우기,  잔 450ml"
,Stardust,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/15/3db33c00d1837b93f58f774c404a26401_s.jpg,0,0,50,17,67,0,"보드카 45ml,  복숭아 리큐르 15ml,  블루퀴라소 15ml,  레몬즙 20ml,  파인애플쥬스 20ml,  그레나딘시럽(석류시럽) 20ml"
,Orange Blossom,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/15/63e11a97192c6fca65dc5c398f60ad941_s.jpg,17,17,17,17,83,0,"진 45ml,  트리플섹(오렌지리큐르) 15ml,  오렌지쥬스 45ml,  그레나딘 시럽 1 베라스푼,  글라스 120ml"
,꽐라모히또,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/17/0fbb1d6eb8cc41a88e2bc00ac4b3b06e1_m.png,17,17,17,17,0,0,"올드패션드잔,  꽐라만시 1팩(40ml),  라임 1개,  설탕 1숟가락,  애플민트 20잎,  얼음,  화이트럼주 100ml,  탄산수"
,꽐라시브리즈,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/17/0fbb1d6eb8cc41a88e2bc00ac4b3b06e1_m.png,0,0,0,17,50,0,"허리케인글라스,  보드카 45ml,  꽐라만시 1팩(40ml),  크랜베리주스 80ml,  자몽주스 40ml,  설탕"
,꽐라하이볼,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/17/0fbb1d6eb8cc41a88e2bc00ac4b3b06e1_m.png,0,0,0,0,50,0,"하이볼글라스,  빨대 1개,  꽐라만시 1팩(40ml),  소주 100ml,  탄산수,  둥근큰얼음 1개"
,Blue Lagoon,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/17/8e21a2de2ef0431c27df6a1f60e4963c1_s.jpg,0,0,50,17,67,0,"보드카 45ml,  블루퀴라소 45ml,  레몬즙 45ml,  스프라이트 채우기"
,크림막걸리,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/20/734a1e2f55b6806113760e15cb7b59811_s.jpg,17,17,17,17,0,0,"막걸리 115ml,  우유 85ml,  꿀 1.5Tsp,  얼음 2-4개"
,Blue Hawaii,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/27/3963c47c4377d5690685aef0aa99f11e1_s.jpg,0,0,50,17,67,0,"럼 30ml,  블루퀴라소 20ml,  시럽 20ml,  레몬즙 30ml,  파인애플쥬스 90ml"
,Key West Cooler,https://recipe1.ezmember.co.kr/cache/recipe/2018/09/28/5b774eca6fcce0a40597e4e93f35c6031_s.jpg,0,0,0,17,50,0,"보드카 30ml,  말리부(코코넛럼) 30ml,  오렌지쥬스 45ml,  크랜베리쥬스 45ml,  글라스 400ml"
,Midori Splice,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/bb38c5cbcf1cac875fe122f56069ffc21_s.jpg,0,0,0,17,50,0,"멜론리큐르 30ml,  말리부(코코넛럼) 30ml,  파인애플쥬스 채우기,  생크림 45ml"
,Bull Frog,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/08/28429eafe3aa23225bb5eb751318812c1_s.jpg,0,0,50,17,67,0,"보드카 45ml,  레몬라임소다(스프라이트) 채우기,  라임슬라이스 1개,  글라스 230ml"
,Gin Genie,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/24/eaca28940eb72a4648e0bd36e485e6631_s.jpg,17,67,17,17,0,0,"진 30ml,  슬로진 30ml,  시럽 20ml,  레몬즙 30ml,  민트잎 8~10 개"
,White Russian,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/24/19f9736dae7bb9d809da7e30a85c4df71_s.jpg,17,17,17,83,17,0,"보드카 15ml,  커피리큐르(커피술) 30ml,  생크림 50ml,  헤이즐넛 리큐르 또는 시럽 20ml"
,Jin Buck,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/24/75e8ddb81b27dd8aa4c2ae2017336b751_s.jpg,0,0,50,17,67,0,"진 45ml,  레몬즙 15ml,  진저엘 또는 진저비어 채우기,  잔 250ml"
,Midori Illusion,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/02/b6e64f99aac317f7c364f8d1163cf8761_s.jpg,17,17,17,17,0,0,"멜론리큐르 45ml,  보드카 15ml,  오렌지리큐르(tiple sec) 15ml,  레몬즙 15ml,  파인애플쥬스 50ml"
,Ramos Gin Fizz,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/02/21128907578e58a96658384545b197241_s.jpg,0,0,50,17,67,0,"진 45ml,  레몬즙 15ml,  라임즙 15ml,  시럽 30ml,  생크림 30ml,  탄산수 30ml,  계란흰자 1개,  오렌지플라워 워터 6-8방울"
,블루베리티,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/02/5ddb032cd8b64c02db34e77ed90cdd0f1_s.jpg,17,17,17,17,0,0,"아마레토 30ml,  오렌지리큐르 30ml,  따뜻한물 200ml,  홍차티백 1개,  시나몬스틱 1개"
,Hot Red Blooded Frenchman,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/07/9b2fbd7cb7f0b9e41f48cea2ea639e3f1_s.jpg,0,0,0,17,50,0,"레드와인 60ml,  오렌지리큐르 30ml,  시럽 20ml,  오렌지쥬스 30ml,  뜨거운물 채우기,  오렌지 슬라이스 1개"
,딸기 칵테일,https://recipe1.ezmember.co.kr/cache/recipe/2018/12/12/536e142ecd0ca3ea152b4fff9359af4e1_m.jpg,0,0,0,17,50,0,"부라더소다,  딸기,  얼음"
