코발 밀레 위스키,https://cdn.veluga.kr/files/supplier/242/drinks/10393_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_500.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A9%E1%84%87%E1%85%A1%E1%86%AF%20%E1%84%86%E1%85%B5%E1%86%AF%E1%84%85%E1%85%A6%20%E1%84%8B%E1%85%B1%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B5.png,74.0/100,"254,250원","96,560원",40.00%,미국,Koval Distillery,아로마,초콜릿,코발은 미국금주령 (1920-1933) 이후 일리노이주 시카고에 처음 세워진 양조장이다. 미국농무부(USDA) organic과 까다롭다는 유대인의 정결음식 조건 KOSHER를 인정한 유일무이의 100%유기농 위스키 이다. 코발은“Grain to bottle“(곡물에서 병입까지)의 철학으로 곡물재배에서 부터 술의 병입까지 철저한 관리를 통해 탄생된다. 창립자인 Sonat의 이런 올바른 고집과 철학으로 시카고를 바탕으로 전국구 나아가 글로벌 브랜드로 자리 잡았다.
윌렛 패밀리 에스테이트 라이,https://cdn.veluga.kr/files/supplier/242/drinks/10398_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_750.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8B%E1%85%B1%E1%86%AF%E1%84%85%E1%85%A6%E1%86%BA%20%E1%84%91%E1%85%A2%E1%84%86%E1%85%B5%E1%86%AF%E1%84%85%E1%85%B5%20%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%20%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5.png,86.5/100,203500원,"203,500원",55.00%,미국,Willett Distillery,붉은 과일류,바닐라,100여년 전 Willett양조장이 가족 소유의 농장에 처음 세워졌다. 양조장 설립과 동시에 처음 만들어진 Willett 가문의 대표 술이다.오늘날의 미국 최고의 양조장이 있게 한 Willett 가문의 전통과 역사가 들어있는 술이다. 워낙 소량 생산되기 때문에 좀처럼 접하기 어려운 위스키라고 할 수 있다.Willet 가문과 미국의 일부 VIP들만이 즐기던 최고의 라이 위스키라고 할 수 있다.
코발 라이 위스키,https://cdn.veluga.kr/files/supplier/242/drinks/10392_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_500.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8F%E1%85%A9%E1%84%87%E1%85%A1%E1%86%AF%20%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%20%E1%84%8B%E1%85%B1%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B5.png,,"254,250원","96,560원",40.00%,미국,Koval Distillery,꿀,자스민,"51% 이상의 호밀을 사용하면 라이 위스키의 기준을 충족시킬 수 있다. 하지만 코발 싱글 배럴 라이 위스키는 100%라이를 사용하여 더욱 순수하고 강력한 호밀(Rye)의 표현력을 보여준다.코발 싱글 배럴 라이 위스키는 화사한 위스키이다. 맨 처음 향을 맡아 보면 넛맥, 꿀, 그리고 자스민과 후추의 힌트가 느껴진다. 점차 진저, 시나몬 풍미가 나며, 입 안 가득 크리미한 마우스 필로 부드럽고 달콤한 메이플 시럽 피니쉬로 마무리된다.'코발 싱글 배럴 라이 위스키'가 담겨있던 캐스크는 빌리 워커에 의해 글렌알라키 우드 피니시 레인지 중 하나로 사용되기로 했다. 이 캐스크에서 추가 숙성을 거친 '글렌알라키 8년 코발 라이 쿼터 캐스크 우드 피니쉬'에는 코발 싱글 배럴 라이 위스키의 시그니쳐인 우디하고 강력한 풀바디 스파이시 캐릭 터 매력이 원액에 가득 담겨있다."
코발 버번 위스키,https://cdn.veluga.kr/files/supplier/242/package_variations/29143_jpeg_47.png,79.0/100,"254,250원","97,060원",47.00%,미국,Koval Distillery,시트러스 류,후추,"EJdhfm는 버번계의 강자, 시카고 출신 코발의 시그니처 라인입니다.옥수수 51%와 49%의 조합으로 훌륭한 밸런스와 함께 비교불가한 시음 경험을 선사합니다. 흔치않은 수수 배합 버번 스타일로, 달콤한 망고와 바닐라 플레이버와 가벼이 매콤한 카라멜 피니쉬를 제공합니다."
윌렛 팟스틸 리저브,https://cdn.veluga.kr/files/supplier/242/drinks/10400_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_750.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8B%E1%85%B1%E1%86%AF%E1%84%85%E1%85%A6%E1%86%BA%20%E1%84%91%E1%85%A1%E1%86%BA%E1%84%89%E1%85%B3%E1%84%90%E1%85%B5%E1%86%AF%20%E1%84%85%E1%85%B5%E1%84%8C%E1%85%A5%E1%84%87%E1%85%B3.png,81.0/100,"389,770원","207,000원",47.00%,미국,Willett Distillery,시트러스 류,허브,"Willet 양조장에서 직접 증류되어 기본적으로 높은 퀄리티를 자랑합니다. 8-10년 aging 된 제품이며 small batch를 기본으로 합니다.Willet pot still reserve의 가장 큰 특징은 양조 기계를 형상화한 병 모양 입니다. 장식용 디켄터에 병입이 되어 있어 포장 용기가 매우 매력적 입니다.여러 번의 금상을 병 모양으로만 받을 만큼 화제가 된 제품 입니다.또한, 위스키 전문지인 ‘Malt Advocate’ 잡지에서 항상 100점 만점에 90점을 유지할 만큼 위스키 애호가들에게 좋은 평을받고 있습니다."
노아스 밀,https://cdn.veluga.kr/files/supplier/242/drinks/10396_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_750.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%82%E1%85%A9%E1%84%8B%E1%85%A1%E1%84%89%E1%85%B3%20%E1%84%86%E1%85%B5%E1%86%AF.png,85.7/100,"428,580원","149,300원",57.20%,미국,willett Distillery,풀,바닐라,"미국식 스탠다드의 위스키버전,버번의 본 고장 캔터 위스키의 한축을 담당하는 윌렛의 야심작입니다.114프루프의 고도수 버번으로 세련되면서 리치한 풍미가 느껴집니다. 잘 익은 견과류와 자두,그리고 화한향이 풍겨오는데 스파이시함과 라벤더와 산미의 벨ㄹ스를 시작으로 카라멜에서 맺어지는 입 안 여정이 마치 잘 수성된 기승전결 같습니다."
윌렛 패밀리 에스테이트 라이,https://cdn.veluga.kr/files/supplier/242/drinks/10398_%E1%84%8B%E1%85%B2%E1%84%85%E1%85%B5%E1%84%87%E1%85%A7%E1%86%BC_750.%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%20%E1%84%8A%E1%85%B5%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3_%E1%84%8B%E1%85%B1%E1%86%AF%E1%84%85%E1%85%A6%E1%86%BA%20%E1%84%91%E1%85%A2%E1%84%86%E1%85%B5%E1%86%AF%E1%84%85%E1%85%B5%20%E1%84%8B%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%20%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5.png,76.4/100,"508,350원","219,500원",55.00%,미국,willett Distillery,붉은 과일류,바닐라,100여년 전 Willett양조장이 가족 소유의 농장에 처음 세워졌다. 양조장 설립과 동시에 처음 만들어진 Willett 가문의 대표 술이다.오늘날의 미국 최고의 양조장이 있게 한 Willett 가문의 전통과 역사가 들어있는 술이다. 워낙 소량 생산되기 때문에 좀처럼 접하기 어려운 위스키라고 할 수 있다.Willet 가문과 미국의 일부 VIP들만이 즐기던 최고의 라이 위스키라고 할 수 있다.
글렌라씨 위스키,https://assets.business.veluga.kr/media/public/Glenlassie_Whisky.png,67.3/100,"45,440원","17,340원",40.00%,영국,토마틴,시트러스 류,바닐라,"'글렌라씨 위스키'의 이름은 스코틀랜드의 유명한 시인, 로버트 번스의 노래 'My Highland Lassie O'에서 유래했습니다. ('라씨(Lassie)'는 스코틀랜드 방언으로 '아가씨'를 뜻합니다.) 글렌라씨는 대대로 내려오는 스코틀랜드의 정서를 느낄 수 있는 위스키로 부드럽고 풍부한 맛이 특징입니다. 부담이 없는 가격에 테이블 위스키로도 손색이 없는 뛰어난 가성비를 자랑해 많은 사랑을 받고 있습니다."
미다이 위스키 300,https://cdn.veluga.kr/files/supplier/268/drinks/26594_Main_-_Midai_Whisky_300.png,80.0/100,정보 없음,정보 없음,37.00%,일본,산후즈,초콜릿,바닐라,"야마나시현 니라사키공장에서 증류한 엄선된 몰트&그레인 원주와 기술로 만들어진 미다이 위스키.스카치 위스키보다 부드러운 스모키한 플레이버이며, 은은한 오크향과 바닐라, 캬라멜향이 조화롭게 블랜딩 된 부드럽고 온화한 맛이 특징입니다.재패니즈 위스키 최초 미다이 300미리 보틀 한국 상륙!!!미다이 위스키가 현재 인기리에 판매 되어져, 소용량을 원하시는 소비자분들의 요청에 의하여 한국에 재패니즈 위스키중 최초로 300미리 바틀로 만들어졌습니다.(700미리 바틀부터 최근 인기리에 판매 되어지는 하이볼 전용인 4000미리 대용량도 있습니다.)"
라벨 5 블랜디드 위스키,https://cdn.veluga.kr/files/supplier/115/drinks/1106_LABEL%205%20BLENDED%20WHISKY.png,62.7/100,"60,020원","22,430원",40.00%,영국,라마르티니케즈,정보 없음,정보 없음,"라벨 5 블랜디드 위스키는 1969년부터 생산된 젊은 스코틀랜드 블랜디드 위스키로 전세계적으로 사랑 받아온 SPEYSIDE 지역의 GLEN MORAY를 키 몰트로 HIGHLAND 지역의 GRAIN WHISKY를 블랜딩하여 만들어지며, EX-BOURBON CASK 의 숙성을 통해 프루티한 아로마와 부드러운 바닐라의 풍미가 특징으로, 유럽에서 많은 사랑을 받고 있는 글로벌 TOP 10 블랜디드 위스키 입니다."
,,,,,40.0%,,,,,
